arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
104,78,2223990175,488896613,7351706463,64915996,5369,1432062102,515564002,406225827,116534777,1303692403,25493739,233844009,19389344,276244420
154,78,335116225,73668125,1107772935,9781699,809,215786585,77686432,61211091,17559742,196443528,3841458,35236181,2921633,41625178
78,79,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
80,79,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
79,80,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
81,80,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
80,81,2368426287,520647799,7829159966,69131938,5718,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998
82,81,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
81,82,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
83,82,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
82,83,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
84,83,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
83,84,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
85,84,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
84,85,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
86,85,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
85,86,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
87,86,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
86,87,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
88,87,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
87,88,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
89,88,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
88,89,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
90,89,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
77,90,2030458008,446352711,6711959176,59266990,4902,1307443709,470699497,370875957,106393892,1190244772,23275268,213494847,17702078,252205563
89,90,2361907309,519214741,7807610583,68941656,5702,1520869105,547535865,431417261,123761491,1384538767,27074692,248345465,20591743,293375268
77,91,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
92,91,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
91,92,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
93,92,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
92,93,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
94,93,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
93,94,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
95,94,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
73,95,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
94,95,2104000231,462519394,6955063145,61413612,5080,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329
97,96,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
150,96,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
96,97,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
98,97,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
97,98,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
99,98,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
98,99,2501250469,549846351,8268228630,73008940,6039,1610594348,579838309,456869168,131062928,1466221061,28671991,262996862,21806574,310683245
100,99,2313422408,508556374,7647337052,67526431,5585,1489648918,536296126,422561188,121220933,1356117150,26518907,243247465,20169038,287352902
176,99,281334655,61845399,929990530,8211870,679,181155790,65218822,51387548,14741643,164917029,3224956,29581256,2452751,34944906
99,100,2313422408,508556374,7647337052,67526431,5585,1489648918,536296126,422561188,121220933,1356117150,26518907,243247465,20169038,287352902
101,100,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
100,101,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
102,101,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
101,102,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
103,102,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
102,103,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
104,103,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
78,104,2223990175,488896613,7351706463,64915996,5369,1432062102,515564002,406225827,116534777,1303692403,25493739,233844009,19389344,276244420
103,104,2343980118,515273833,7748349782,68418380,5659,1509325506,543379995,428142747,122822125,1374029934,26869192,246460490,20435448,291148511
106,105,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
130,105,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
105,106,2214211708,486747026,7319382390,64630572,5346,1425765594,513297164,404439728,116022395,1297960312,25381648,232815841,19304093,275029825
